title,body,image_path,Referrals,Referrals B/AA,Sessions,Sessions B/AA,clicks,impressions,reach
Help Us Study AFib,Risk of atrial fibrillation is tied to race and ethnicity. Volunteers from diverse groups are needed to join an AFib medication study.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141460990480.jpg,0.0,0.0,1.0,0.0,209.0,9193.0,7342.0
Help Us Study Atrial Fibrillation,"Join the Librexia AF Study evaluating an investigational medication to reduce the risk of atrial fibrillation (AF or AFib) complications.

Your participation may help us learn more about the study medication.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210665628170480.jpg,7.0,0.0,52.0,2.0,1389.0,68081.0,46386.0
Help Us Study Atrial Fibrillation,"Join the Librexia AF Study evaluating an investigational medication to reduce the risk of atrial fibrillation (AF or AFib) complications.

Your participation may help us learn more about the study medication.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210665628230480.jpg,1.0,0.0,4.0,0.0,109.0,10145.0,5354.0
Help Us Study Atrial Fibrillation,"Worried about AFib-related symptoms?

Consider joining the Librexia AF Study to help us learn more about the study medication.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210514810570480.jpg,19.0,1.0,86.0,2.0,1152.0,71845.0,43120.0
Help Us Study Atrial Fibrillation,"Worried about AFib-related symptoms?

Consider joining the Librexia AF Study to help us learn more about the study medication.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210628507300480.jpg,2.0,0.0,4.0,0.0,81.0,13102.0,5861.0
Help Us Study Atrial Fibrillation,"Worried about AFib-related symptoms?

Consider joining the Librexia AF Study to help us learn more about the study medication.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210665628230480.jpg,0.0,0.0,5.0,0.0,109.0,12010.0,6369.0
Living with Atrial Fibrillation (AF)?,"Help research an investigational AFib medication. Learn about a new clinical study.

Certain diseases and medications may impact people differently based on their age, sex, and genetic background, including race and ethnicity. We are committed to connecting potential  participants from diverse and representative groups to our trial opportunity to help ensure that investigational medications are generally safe and effective (or that the benefits outweigh the risks) for the populations impacted.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210628507270480.jpg,1.0,0.0,2.0,0.0,26.0,3676.0,2006.0
Living with Atrial Fibrillation (AF)?,"Help research an investigational AFib medication. Learn about a new clinical study.

Certain diseases and medications may impact people differently based on their age, sex, and genetic background, including race and ethnicity. We are committed to connecting potential  participants from diverse and representative groups to our trial opportunity to help ensure that investigational medications are generally safe and effective (or that the benefits outweigh the risks) for the populations impacted.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210665628200480.jpg,1.0,0.0,4.0,0.0,59.0,8515.0,3407.0
Living with Atrial Fibrillation (AF)?,"Help research an investigational AFib medication. Learn about a new clinical study.

Certain diseases and medications may impact people differently based on their age, sex, and genetic background, including race and ethnicity. We are committed to connecting potential  participants from diverse and representative groups to our trial opportunity to help ensure that investigational medications are generally safe and effective (or that the benefits outweigh the risks) for the populations impacted.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211140972270480.jpg,1.0,0.0,9.0,0.0,103.0,11261.0,4710.0
Living with Atrial Fibrillation (AF)?,"Living with Atrial Fibrillation (AF)? Learn about an AFib clinical study.

We are committed to connecting potential  participants from diverse and representative groups to our trial opportunity to help ensure that investigational medications are generally safe and effective (or that the benefits outweigh the risks) for the populations impacted.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\23857879451470479.jpg,0.0,0.0,3.0,0.0,2.0,392.0,308.0
Living with Atrial Fibrillation (AF)?,"Through research, let’s work towards protecting what matters most – you.

Consider the Librexia AF Study.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210665628170480.jpg,0.0,0.0,12.0,0.0,259.0,22468.0,12940.0
New Clinical Study For AFib,Adults with AFib may be able to enroll in a new research study. Learn more.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210514810620480.jpg,43.0,5.0,222.0,9.0,7145.0,400060.0,239216.0
New Clinical Study For AFib,Adults with AFib may be able to enroll in a new research study. Learn more.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210628507220480.jpg,111.0,4.0,754.0,15.0,24523.0,1223266.0,697597.0
New Clinical Study for AFib,Diagnosed with atrial fibrillation (AF)? Learn about a research study you may qualify to join.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210628507270480.jpg,6.0,1.0,53.0,2.0,500.0,40157.0,28019.0
New Clinical Study for AFib,Diagnosed with atrial fibrillation (AF)? Learn about a research study you may qualify to join.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120210628507320480.jpg,0.0,0.0,11.0,0.0,271.0,22772.0,12890.0
New clinical study for AFib,"Diagnosed with atrial fibrillation (AF)? You may qualify for a research study in your area.

Qualified participant may be reimbursed for study-required travel.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211316997380480.jpg,0.0,0.0,3.0,0.0,125.0,7064.0,5812.0
New clinical study for AFib,"Help us research an investigational medication for people with atrial fibrillation.

Volunteers from diverse groups are needed to join an AFib medication study.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211316997380480.jpg,0.0,0.0,5.0,0.0,64.0,3897.0,3303.0
New clinical study for AFib,Joining atrial fibrillation research may advance medicine. Advancements in care for atrial fibrillation are needed. Learn about a clinical study..,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211316997380480.jpg,1.0,1.0,2.0,1.0,33.0,1458.0,1389.0
New clinical study for AFib,"We’re seeking participants to help us with AFib research.
Participant safety is most important in a clinical trial and is protected by strict rules.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211316997380480.jpg,1.0,0.0,1.0,0.0,75.0,2239.0,1920.0
Research Is Better When Everyone Is Included,Risk of atrial fibrillation is tied to race and ethnicity. Volunteers from diverse groups are needed to join an AFib medication study.,C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141460990480.jpg,2.0,1.0,7.0,3.0,212.0,7726.0,5983.0
Volunteers Needed For Atrial Fibrillation Research,"Diagnosed with atrial fibrillation (AF)? Join a highly regulated, ethically approved clinical trial that puts safety first.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141107060480.jpg,18.0,6.0,287.0,15.0,9947.0,531108.0,303943.0
Volunteers Needed For Atrial Fibrillation Research,"Diagnosed with atrial fibrillation (AF)? Join a highly regulated, ethically approved clinical trial that puts safety first.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211141460990480.jpg,1.0,0.0,2.0,0.0,34.0,1174.0,1002.0
Volunteers Needed For Atrial Fibrillation Research,"Diagnosed with atrial fibrillation (AF)? Join a highly regulated, ethically approved clinical trial that puts safety first.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211192824910480.jpg,0.0,0.0,1.0,0.0,11.0,407.0,322.0
Volunteers Needed For Atrial Fibrillation Research,"Diagnosed with atrial fibrillation (AF)? Join a highly regulated, ethically approved clinical trial that puts safety first.",C:\Users\q1032269\OneDrive - IQVIA\Documents\Python\Reporting Automation\Janssen\Librexia\_ads_analysis\images\120211316997380480.jpg,0.0,0.0,9.0,0.0,209.0,7725.0,4928.0
